#timestamp x y z qx qy qz qw
414.547000 -5.835122 0.357422 -0.391301 -0.016554 -0.015650 -0.005479 0.999726
415.042000 -5.722319 0.333936 -0.387350 -0.015296 -0.016805 -0.078462 0.996658
415.570000 -5.608719 0.317641 -0.383115 -0.015413 -0.016544 -0.073678 0.997026
416.032000 -5.501499 0.301793 -0.379216 -0.015397 -0.016406 -0.076777 0.996794
416.494000 -5.394120 0.290872 -0.376141 -0.015733 -0.016088 -0.058637 0.998026
416.956000 -5.287480 0.283804 -0.373092 -0.015947 -0.015785 -0.044866 0.998741
417.484000 -5.281402 0.305623 -0.372989 -0.018105 -0.013259 0.095843 0.995143
417.715000 -5.288309 0.323001 -0.373903 -0.019408 -0.011335 0.209188 0.977617
417.946000 -5.297556 0.335337 -0.374457 -0.020260 -0.009610 0.298038 0.954291
418.738000 -5.209419 0.376920 -0.373590 -0.019159 -0.011647 0.206826 0.978121
418.969000 -5.165584 0.390551 -0.372864 -0.017841 -0.013694 0.101748 0.994556
419.200000 -5.123026 0.397450 -0.371775 -0.016868 -0.015143 0.017648 0.999587
419.431000 -5.070919 0.386085 -0.369482 -0.015998 -0.015967 -0.041543 0.998881
419.926000 -4.959075 0.353634 -0.364934 -0.014616 -0.017193 -0.127386 0.991597
420.685000 -4.840847 0.313632 -0.359590 -0.014011 -0.017605 -0.162366 0.986474
421.147000 -4.739535 0.277824 -0.354981 -0.013757 -0.017669 -0.172217 0.984804
421.609000 -4.636957 0.238337 -0.350293 -0.013401 -0.017763 -0.185947 0.982308
422.764000 -4.530454 0.194409 -0.345601 -0.013162 -0.017761 -0.194398 0.980674
422.995000 -4.187780 -1.524017 -0.279244 -0.014555 -0.016453 -0.114856 0.993139
423.226000 -4.426375 0.153786 -0.340753 -0.013091 -0.017407 -0.198007 0.979959
423.754000 -4.310321 0.150716 -0.336280 -0.014350 -0.016200 -0.119352 0.992616
424.018000 -4.215761 -0.045225 -0.327099 -0.014928 -0.015731 -0.084051 0.996225
424.249000 -4.225337 0.120081 -0.333331 -0.014982 -0.015798 -0.082475 0.996355
424.480000 -4.216626 0.112521 -0.333580 -0.016049 -0.014916 -0.018406 0.999591
424.711000 -4.214690 0.126955 -0.333818 -0.017399 -0.013232 0.090073 0.995695
424.942000 -4.219745 0.139341 -0.334177 -0.018826 -0.011088 0.204008 0.978725
425.173000 -4.226782 0.145605 -0.335018 -0.019519 -0.009623 0.276876 0.960659
425.866000 -4.135832 0.181449 -0.333717 -0.018661 -0.011181 0.195676 0.980427
426.097000 -4.074718 0.181670 -0.332462 -0.017412 -0.013101 0.087031 0.995967
426.361000 -4.016981 0.167750 -0.331084 -0.015921 -0.014856 -0.024304 0.999467
426.592000 -3.967471 0.156291 -0.328719 -0.014816 -0.015949 -0.098182 0.994930
427.087000 -3.861874 0.117471 -0.323854 -0.013434 -0.017093 -0.182226 0.983016
428.275000 -3.839574 0.099006 -0.322951 -0.012507 -0.017853 -0.233576 0.972094
428.506000 -3.799143 0.066183 -0.320401 -0.011525 -0.018645 -0.283854 0.958617
428.968000 -3.720186 -0.008289 -0.315187 -0.010111 -0.019417 -0.352974 0.935377
429.463000 -3.640145 -0.089259 -0.310156 -0.009636 -0.019752 -0.377823 0.925617
430.189000 -3.575198 -0.135949 -0.306795 -0.010888 -0.019081 -0.313256 0.949414
430.420000 -3.566526 -0.120913 -0.307476 -0.013247 -0.017568 -0.198378 0.979879
430.651000 -3.562594 -0.102819 -0.308125 -0.015177 -0.015674 -0.076516 0.996830
430.882000 -3.565119 -0.090142 -0.308549 -0.016264 -0.014355 -0.002414 0.999762
431.575000 -3.464301 -0.114662 -0.305383 -0.015024 -0.015831 -0.103347 0.994406
431.806000 -3.418391 -0.145449 -0.303562 -0.013866 -0.017052 -0.190306 0.981479
432.037000 -3.375558 -0.181494 -0.301584 -0.012314 -0.018012 -0.262342 0.964728
432.268000 -3.335093 -0.220725 -0.301172 -0.011094 -0.019001 -0.321309 0.946719
432.499000 -3.301412 -0.262352 -0.296254 -0.010025 -0.019530 -0.368544 0.929351
433.423000 -3.227789 -0.355542 -0.289207 -0.008707 -0.020403 -0.424184 0.905304
433.885000 -3.163543 -0.444927 -0.281706 -0.008317 -0.020639 -0.445508 0.895001
434.347000 -3.106510 -0.534055 -0.274277 -0.007722 -0.021175 -0.466881 0.884033
434.809000 -3.061309 -0.632419 -0.265725 -0.006797 -0.021743 -0.514720 0.857056
435.898000 -3.012445 -0.745984 -0.256183 -0.005585 -0.021352 -0.538396 0.842403
438.439000 -2.977752 -0.846283 -0.247622 -0.004261 -0.021127 -0.563939 0.825535
438.901000 -2.945192 -0.949110 -0.239222 -0.002404 -0.019766 -0.581731 0.813137
439.396000 -2.917077 -1.061755 -0.231158 -0.000849 -0.018399 -0.605612 0.795547
439.858000 -2.895847 -1.162351 -0.224101 0.000113 -0.016643 -0.619976 0.784445
441.046000 -2.874560 -1.281491 -0.221513 0.001218 -0.017416 -0.641637 0.766809
441.508000 -2.864374 -1.390543 -0.219682 0.001800 -0.017479 -0.670187 0.741984
441.970000 -2.868047 -1.501590 -0.218164 0.002723 -0.017496 -0.712510 0.701439
443.000000 -2.148383 -3.437558 -0.156620 0.001947 -0.017759 -0.686471 0.726938
443.224000 -2.877032 -1.572231 -0.222207 0.003262 -0.018378 -0.753098 0.657643
443.752000 -2.909906 -1.689546 -0.221091 0.004240 -0.018339 -0.790878 0.611684
443.983000 -2.810383 -2.025177 -0.210708 0.004200 -0.018557 -0.795461 0.605706
444.247000 -2.948861 -1.799921 -0.221183 0.004752 -0.018734 -0.819204 0.573177
444.709000 -2.989380 -1.896162 -0.220606 0.005051 -0.018880 -0.833496 0.552180
445.237000 -3.042110 -2.001822 -0.220066 0.005500 -0.018997 -0.851991 0.523182
445.732000 -3.100411 -2.099073 -0.219833 -0.005930 0.019118 0.869672 -0.493224
446.689000 -3.126463 -2.182920 -0.218952 0.002940 -0.020053 -0.793673 0.608006
446.953000 -3.102231 -2.185533 -0.218908 -0.000183 -0.020546 -0.703674 0.710225
447.184000 -3.086924 -2.185287 -0.219208 -0.002289 -0.020704 -0.642075 0.766359
447.877000 -3.087604 -2.282816 -0.216935 -0.000746 -0.021123 -0.709438 0.704451
448.108000 -3.108289 -2.335427 -0.216577 0.001116 -0.021424 -0.779596 0.625916
448.372000 -3.143084 -2.391963 -0.218063 0.003593 -0.021532 -0.845590 0.533387
448.603000 -3.179193 -2.440814 -0.218957 -0.005225 0.021278 0.883973 -0.467025
448.834000 -3.216635 -2.485327 -0.220024 -0.006411 0.021028 0.908913 -0.416405
449.197000 -3.277403 -2.539672 -0.221438 -0.007894 0.020604 0.936880 -0.348953
450.715000 -3.355622 -2.588340 -0.223531 -0.009316 0.020095 0.960094 -0.278801
451.441000 -3.454223 -2.652169 -0.225671 -0.009631 0.020002 0.966262 -0.256601
451.903000 -3.548889 -2.708824 -0.227885 -0.009868 0.019921 0.971951 -0.234129
452.365000 -3.653292 -2.732379 -0.231799 -0.010247 0.019655 0.976938 -0.212370
452.827000 -3.750577 -2.751374 -0.231349 -0.011558 0.018897 0.987899 -0.153510
453.058000 -3.793718 -2.741757 -0.230356 -0.013442 0.017557 0.998040 -0.058548
453.289000 -3.805368 -2.742643 -0.230686 -0.014514 0.016651 0.999737 0.006246
454.015000 -3.561264 -3.279863 -0.205394 -0.012093 0.018326 0.991527 -0.128032
454.279000 -3.806731 -2.775264 -0.228830 -0.011919 0.018275 0.990660 -0.134596
454.741000 -3.885802 -2.776649 -0.230794 -0.013704 0.016899 0.999263 -0.031624
454.972000 -3.941214 -2.758911 -0.232821 -0.015422 0.015218 0.996580 0.079739
455.203000 -3.985699 -2.726810 -0.234993 -0.016720 0.013736 0.982870 0.183023
455.434000 -4.027008 -2.683345 -0.237626 -0.018008 0.012114 0.956556 0.290739
455.665000 -4.059367 -2.633325 -0.240248 -0.019101 0.010431 0.919814 0.391751
455.896000 -4.084208 -2.589486 -0.242467 -0.019817 0.009142 0.883799 0.467357
456.193000 -4.084310 -2.568226 -0.243255 -0.020307 0.008171 0.851778 0.523445
457.183000 -4.082003 -2.547332 -0.243979 -0.020667 0.007430 0.823289 0.567197
457.414000 -4.079730 -2.490967 -0.246000 -0.021320 0.005635 0.761087 0.648274
457.645000 -4.072622 -2.437202 -0.247835 -0.021857 0.003390 0.678692 0.734090
457.876000 -4.051862 -2.386622 -0.249249 -0.022181 0.001138 0.588232 0.808387
458.140000 -4.018223 -2.333862 -0.250473 -0.022238 -0.001496 0.474518 0.879963
458.371000 -3.970776 -2.299809 -0.250667 -0.022186 -0.003407 0.385153 0.922580
458.602000 -3.920708 -2.273051 -0.250824 -0.022041 -0.005179 0.309157 0.950742
458.833000 -3.868945 -2.255074 -0.250609 -0.021748 -0.006861 0.234293 0.971898
459.559000 -3.865519 -2.237593 -0.251075 -0.022076 -0.005137 0.310449 0.950320
459.790000 -3.877958 -2.222682 -0.251806 -0.022389 -0.002711 0.413338 0.910299
460.054000 -3.886942 -2.212415 -0.251595 -0.022658 -0.001359 0.466198 0.884389
460.516000 -3.828472 -2.163734 -0.251973 -0.022552 -0.003078 0.396237 0.917866
460.747000 -3.778610 -2.148888 -0.251496 -0.021547 -0.005037 0.302855 0.952780
460.978000 -3.722530 -2.127640 -0.246898 -0.021307 -0.006899 0.229890 0.972959
461.242000 -3.662969 -2.112329 -0.244900 -0.020888 -0.008189 0.176568 0.984033
461.803000 -3.536516 -2.087404 -0.239060 -0.020881 -0.008503 0.123726 0.992060
462.562000 -3.428412 -2.081331 -0.240148 -0.019256 -0.010978 0.018077 0.999591
462.826000 -3.367542 -2.103261 -0.237511 -0.017545 -0.013541 -0.103316 0.994402
463.189000 -3.310200 -2.148658 -0.234021 -0.014863 -0.016403 -0.258010 0.965889
464.179000 -3.303749 -2.127938 -0.234202 -0.016384 -0.014855 -0.143599 0.989389
464.707000 -3.256918 -2.151599 -0.231735 -0.015206 -0.016077 -0.200935 0.979355
